10 3
3 w
2 w
1 w
0 w
3 w
2 w
4 w
3 w
2 w
1 w
0 w
4 w
6 r
4 r
3 r
8 w
7 w
2 r
1 r
1 w
2 w
9 r
8 w
3 w
1 r
2 w
0 w
0 w
1 w
2 w
1 r
4 w
7 r
1 r
2 r
0 w
1 r
2 w
0 r
3 w
2 w
1 w
0 w
3 w
2 w
4 w
3 w
2 w
1 w
0 w
4 w
6 r
4 r
3 r
8 w
7 w
2 r
1 r
1 w
2 w
9 r
8 w
3 w
1 r
2 w
0 w
0 w
1 w
2 w
1 r
4 w
7 r
1 r
2 r
0 w
1 r
2 w
0 r
3 w
2 w
1 w
0 w
3 w
2 w
4 w
3 w
2 w
1 w
0 w
4 w
6 r
4 r
3 r
8 w
7 w
2 r
1 r
1 w
2 w
9 r
8 w
3 w
1 r
2 w
0 w
0 w
1 w
2 w
1 r
4 w
7 r
1 r
2 r
0 w
1 r
2 w
0 r
3 w
2 w
1 w
0 w
3 w
2 w
4 w
3 w
2 w
1 w
0 w
4 w
6 r
4 r
3 r
8 w
7 w
2 r
1 r
1 w
2 w
9 r
8 w
3 w
1 r
2 w
0 w
0 w
1 w
2 w
1 r
4 w
7 r
1 r
2 r
0 w
1 r
2 w
0 r
